node_id,x_mm,y_mm,ux_mm,uy_mm,u_mag_mm
0,0.0,0.0,0.0,0.0,0.0
1,5.0,0.0,-0.0006456119737883509,-0.0008998827301028046,0.0011075214438719312
2,10.0,0.0,-0.0009692250696397527,-0.0018924212695388372,0.002126183316889954
3,15.0,0.0,-0.0011571369236995947,-0.002940679349592941,0.003160152037056338
4,20.0,0.0,-0.0012717962024882713,-0.003998652919603032,0.004196032739637936
5,25.0,0.0,-0.001325782877975442,-0.005050028271096554,0.005221157513273018
6,30.0,0.0,-0.0013208392036809834,-0.00607000002616024,0.006212046081571347
7,35.0,0.0,-0.0012559985473845107,-0.007030889521933071,0.007142194328122152
8,40.0,0.0,-0.001129559836404052,-0.007903133733766854,0.007983447140040496
9,45.0,0.0,-0.0009383342714829766,-0.008654326342052461,0.008705046561609113
10,50.0,0.0,-0.0006799260398407615,-0.009245644656976745,0.00927061187531525
11,55.0,0.0,-0.000359514824156178,-0.00963049017615952,0.009637198345053041
12,60.0,0.0,-1.0191500421363742e-17,-0.009765026231219366,0.009765026231219366
13,65.0,0.0,0.00035951482415615653,-0.009630490176159521,0.009637198345053041
14,70.0,0.0,0.0006799260398407364,-0.009245644656976743,0.009270611875315249
15,75.0,0.0,0.0009383342714829474,-0.008654326342052461,0.00870504656160911
16,80.0,0.0,0.0011295598364040173,-0.007903133733766861,0.007983447140040498
17,85.0,0.0,0.0012559985473844701,-0.0070308895219330925,0.007142194328122167
18,90.0,0.0,0.0013208392036809411,-0.006070000026160274,0.006212046081571372
19,95.0,0.0,0.0013257828779754052,-0.005050028271096611,0.005221157513273065
20,100.0,0.0,0.001271796202488244,-0.00399865291960309,0.0041960327396379825
21,105.0,0.0,0.001157136923699576,-0.0029406793495929968,0.0031601520370563834
22,110.0,0.0,0.000969225069639741,-0.0018924212695388817,0.0021261833168899884
23,115.0,0.0,0.0006456119737883447,-0.000899882730102835,0.0011075214438719524
24,120.0,0.0,0.0,0.0,0.0
25,0.0,5.0,4.515535949286253e-05,-0.00011049035864684056,0.00011936132474481466
26,5.0,5.0,8.368892421144398e-05,-0.0008378222061968048,0.0008419916182671595
27,10.0,5.0,-4.319043379307969e-05,-0.0018516093263431792,0.0018521129854769326
28,15.0,5.0,-0.00017114074959059607,-0.0029035393803012012,0.0029085787060229803
29,20.0,5.0,-0.0002727534207185384,-0.003973708979035928,0.00398305880933039
30,25.0,5.0,-0.00034398128367329664,-0.005037814210131919,0.0050495440526174854
31,30.0,5.0,-0.00038454300627441496,-0.006071213267917793,0.006083379313195554
32,35.0,5.0,-0.0003946359176155389,-0.007045629939614346,0.007056673348927404
33,40.0,5.0,-0.00037462438333583285,-0.00793137151023681,0.00794021394308654
34,45.0,5.0,-0.00032507641426156975,-0.008697300899520987,0.00870337392118239
35,50.0,5.0,-0.00024437472963030794,-0.009305794173843009,0.00930900232110898
36,55.0,5.0,-0.00013312341248013828,-0.009707549506140839,0.009708462249868698
37,60.0,5.0,-8.836247705756861e-18,-0.00984991379345844,0.00984991379345844
38,65.0,5.0,0.00013312341248011912,-0.009707549506140837,0.009708462249868696
39,70.0,5.0,0.0002443747296302848,-0.009305794173843005,0.009309002321108975
40,75.0,5.0,0.00032507641426154465,-0.008697300899520989,0.008703373921182391
41,80.0,5.0,0.0003746243833358065,-0.007931371510236814,0.007940213943086543
42,85.0,5.0,0.00039463591761550935,-0.007045629939614365,0.007056673348927422
43,90.0,5.0,0.0003845430062743854,-0.00607121326791783,0.00608337931319559
44,95.0,5.0,0.00034398128367326894,-0.005037814210131974,0.005049544052617539
45,100.0,5.0,0.0002727534207185125,-0.003973708979035988,0.0039830588093304475
46,105.0,5.0,0.00017114074959057206,-0.0029035393803012563,0.002908578706023034
47,110.0,5.0,4.319043379305743e-05,-0.0018516093263432243,0.001852112985476977
48,115.0,5.0,-8.368892421146566e-05,-0.0008378222061968357,0.0008419916182671924
49,120.0,5.0,-4.5155359492883043e-05,-0.00011049035864685532,0.00011936132474483608
50,0.0,10.0,0.0008219994295750623,-7.981844263162032e-05,0.0008258656343533524
51,5.0,10.0,0.0008099286026361857,-0.0009137786397497148,0.0012210551764072922
52,10.0,10.0,0.0007977313154566502,-0.0018514566945254656,0.002016002763729098
53,15.0,10.0,0.0007341317960051262,-0.00288435212106648,0.0029763125931606066
54,20.0,10.0,0.0006525894812972539,-0.0039495476374632145,0.004003098746182897
55,25.0,10.0,0.0005670804036255475,-0.005016319508153774,0.005048271148825134
56,30.0,10.0,0.00048169374099926016,-0.006054090324509237,0.006073223074894765
57,35.0,10.0,0.00039652463188907133,-0.007032644199839885,0.007043814039654677
58,40.0,10.0,0.00031028392028648017,-0.007921717378220686,0.0079277917689349
59,45.0,10.0,0.00022114313067449876,-0.008690912167131372,0.008693725241864769
60,50.0,10.0,0.00012838517633359693,-0.009313295207305835,0.009314180069760732
61,55.0,10.0,5.247337285253747e-05,-0.009744407458174455,0.009744548741003067
62,60.0,10.0,-8.323794141679636e-18,-0.009905436732371986,0.009905436732371986
63,65.0,10.0,-5.2473372852554614e-05,-0.009744407458174448,0.00974454874100306
64,70.0,10.0,-0.000128385176333615,-0.009313295207305828,0.009314180069760725
65,75.0,10.0,-0.00022114313067451917,-0.008690912167131373,0.00869372524186477
66,80.0,10.0,-0.000310283920286502,-0.007921717378220687,0.007927791768934904
67,85.0,10.0,-0.0003965246318890932,-0.007032644199839903,0.007043814039654696
68,90.0,10.0,-0.00048169374099928206,-0.006054090324509274,0.006073223074894804
69,95.0,10.0,-0.0005670804036255694,-0.005016319508153829,0.005048271148825191
70,100.0,10.0,-0.0006525894812972774,-0.003949547637463269,0.004003098746182954
71,105.0,10.0,-0.0007341317960051523,-0.0028843521210665337,0.0029763125931606647
72,110.0,10.0,-0.0007977313154566778,-0.001851456694525509,0.0020160027637291487
73,115.0,10.0,-0.0008099286026362145,-0.0009137786397497472,0.0012210551764073355
74,120.0,10.0,-0.0008219994295750906,-7.981844263164317e-05,0.0008258656343533827
75,0.0,15.0,0.0016857611860955947,-5.064798725729015e-05,0.0016865218632320308
76,5.0,15.0,0.0016850121221088869,-0.000938284503628362,0.0019286377735082904
77,10.0,15.0,0.0016752996394984523,-0.001870481505300618,0.002511041605345342
78,15.0,15.0,0.0016416779842210836,-0.0028743681028044407,0.00331015084162275
79,20.0,15.0,0.001574061493804888,-0.003926146509811884,0.004229928604927903
80,25.0,15.0,0.0014755286674244077,-0.004986143703644625,0.005199885948921013
81,30.0,15.0,0.0013468854703801239,-0.00601920574164882,0.006168057897800507
82,35.0,15.0,0.0011880571050493396,-0.006992837696760323,0.0070930429815482185
83,40.0,15.0,0.000998696390088545,-0.007875945605546875,0.00793901213383057
84,45.0,15.0,0.0007779551611796871,-0.008639687102502099,0.00867464163305593
85,50.0,15.0,0.000523840918745632,-0.009257867267955787,0.009272675755101082
86,55.0,15.0,0.00022992787840043333,-0.009743030253838913,0.009745742935070988
87,60.0,15.0,-9.23692244048711e-18,-0.009982659021773192,0.009982659021773192
88,65.0,15.0,-0.00022992787840045065,-0.009743030253838906,0.009745742935070982
89,70.0,15.0,-0.0005238409187456478,-0.009257867267955775,0.009272675755101071
90,75.0,15.0,-0.0007779551611797024,-0.008639687102502092,0.008674641633055922
91,80.0,15.0,-0.0009986963900885605,-0.007875945605546872,0.007939012133830569
92,85.0,15.0,-0.0011880571050493546,-0.006992837696760338,0.007093042981548235
93,90.0,15.0,-0.0013468854703801382,-0.0060192057416488575,0.006168057897800547
94,95.0,15.0,-0.0014755286674244241,-0.004986143703644676,0.005199885948921066
95,100.0,15.0,-0.001574061493804909,-0.003926146509811933,0.004229928604927956
96,105.0,15.0,-0.0016416779842211105,-0.002874368102804491,0.003310150841622807
97,110.0,15.0,-0.0016752996394984831,-0.00187048150530066,0.0025110416053453935
98,115.0,15.0,-0.0016850121221089196,-0.0009382845036283958,0.0019286377735083355
99,120.0,15.0,-0.001685761186095628,-5.064798725731587e-05,0.001686521863232065
100,0.0,20.0,0.002590464295010258,-4.282882893561304e-05,0.0025908183209771753
101,5.0,20.0,0.0025970188465575476,-0.00094485075877726,0.002763557461992976
102,10.0,20.0,0.002612940315202768,-0.0018764507380074416,0.0032169122560276047
103,15.0,20.0,0.0026103604245527544,-0.0028670979017090437,0.0038774001501077544
104,20.0,20.0,0.0025616606644425477,-0.003902458169270871,0.004668113657855943
105,25.0,20.0,0.0024527471814433997,-0.004947987819554969,0.005522549429253022
106,30.0,20.0,0.0022815454963338185,-0.005967133666300438,0.006388437527544371
107,35.0,20.0,0.0020488806274577592,-0.006926969707773877,0.007223629361892026
108,40.0,20.0,0.0017564746603011155,-0.007796460518574504,0.007991870860441312
109,45.0,20.0,0.0014074568480209957,-0.00854602884286442,0.008661151410875563
110,50.0,20.0,0.0010084746858485636,-0.00915745607989969,0.009212818409547057
111,55.0,20.0,0.0005585389390658055,-0.009609670578195664,0.009625888757298837
112,60.0,20.0,-1.1549902337976845e-17,-0.010173810294125594,0.010173810294125594
113,65.0,20.0,-0.0005585389390658269,-0.009609670578195659,0.009625888757298832
114,70.0,20.0,-0.0010084746858485798,-0.009157456079899673,0.009212818409547041
115,75.0,20.0,-0.001407456848021007,-0.008546028842864414,0.00866115141087556
116,80.0,20.0,-0.0017564746603011213,-0.007796460518574497,0.007991870860441307
117,85.0,20.0,-0.00204888062745776,-0.006926969707773893,0.007223629361892043
118,90.0,20.0,-0.0022815454963338215,-0.0059671336663004735,0.006388437527544405
119,95.0,20.0,-0.0024527471814434114,-0.004947987819555018,0.005522549429253071
120,100.0,20.0,-0.002561660664442568,-0.0039024581692709164,0.0046681136578559925
121,105.0,20.0,-0.0026103604245527813,-0.002867097901709089,0.0038774001501078064
122,110.0,20.0,-0.002612940315202802,-0.001876450738007482,0.003216912256027656
123,115.0,20.0,-0.0025970188465575866,-0.0009448507587772936,0.002763557461993024
124,120.0,20.0,-0.0025904642950102994,-4.282882893563928e-05,0.002590818320977217
